"RingNumber","ExpScore","Sequence","Sex","TimeAfterSunrise","Species","BroodID","SubplotYear"
"B5G6062",49,2,0.5,2.35,0,2917,"B12025"
"B5G6062",35,1,0.5,2.41666666666667,0,2538,"B12024"
"B5G6114",75,1,-0.5,8.78333333333333,0,2143,"E12023"
"B5G6119",68,1,-0.5,7.05,0,2787,"D22024"
"B5G6304",69,2,0.5,7.35,0,2976,"C22025"
"B5G6304",32,1,0.5,2.05,0,2023,"C22023"
"B5G6323",31,1,0.5,3.78333333333333,0,2030,"C12023"
"B5G6337",58,1,-0.5,10.95,0,1832,"A12023"
"B5G6337",80,2,-0.5,3.28333333333333,0,2347,"A12024"
"B5G6338",37,1,-0.5,4.65,0,2030,"C12023"
"B5G6341",55,1,-0.5,6.81666666666667,0,2496,"B22024"
"B5G6341",54,2,-0.5,9.35,0,2868,"B22025"
"B5G6362",74,1,-0.5,3.85,0,2008,"C12023"
"B5G6366",70,2,-0.5,2.41666666666667,0,2492,"B12024"
"B5G6366",37,1,-0.5,3.9,0,1900,"B12023"
"B5G6388",38,1,0.5,2.45,0,2552,"B12024"
"B5G6392",36,1,0.5,9.8,0,2788,"D22024"
"B5G6519",50,1,-0.5,9.1,0,1388,"B22022"
"B5G6519",81,2,-0.5,3.1,0,2498,"B22024"
"B5G6531",43,1,0.5,5.6,0,2243,"F12023"
"B5G6539",28,1,-0.5,8.4,0,1426,"B12022"
"B5G6586",67,2,0.5,5.95,0,2949,"C12025"
"B5G6586",32,1,0.5,6.65,0,2426,"C12024"
"B5G6595",30,2,-0.5,4.78333333333333,0,2620,"F22024"
"B5G6595",54,3,-0.5,4.53333333333333,0,3155,"F22025"
"B5G6595",39,1,-0.5,4.75,0,2248,"F12023"
"B5G6596",36,1,0.5,4.66666666666667,0,2250,"F12023"
"B5G6603",62,3,-0.5,4.05,0,2645,"F22024"
"B5G6603",38,2,-0.5,10.25,0,2303,"F22023"
"B5G6603",23,1,-0.5,2.9,0,1742,"F22022"
"B5G6656",45,1,0.5,6.68333333333333,0,2735,"D12024"
"B5G6656",68,2,0.5,5.38333333333333,0,3258,"D12025"
"B5G6661",42,1,-0.5,3.11666666666667,0,2224,"F12023"
"B5G6694",37,2,0.5,2.51666666666667,0,2445,"C12024"
"B5G6694",63,1,0.5,4.38333333333333,0,2008,"C12023"
"B5G6701",57,1,0.5,4.61666666666667,0,2417,"A22024"
"B5G6702",37,2,-0.5,2.53333333333333,0,3253,"A22025"
"B5G6702",63,1,-0.5,5.18333333333333,0,2417,"A22024"
"B5G6703",47,1,-0.5,5.35,0,2574,"F12024"
"B5G6705",54,1,0.5,7.91666666666667,0,2747,"D12024"
"B5G6708",17,1,-0.5,3.43333333333333,0,2489,"C22024"
"B5G6913",42,1,-0.5,2.61666666666667,0,1375,"B12022"
